board_id,row_scope,group_pair_key,university_code,university_name,group_code,year,province,batch,subject_category,min_score,min_rank,action_bucket,latest_local_status,safe_auto_next_step,blocked_until,user_input_needed,approval_packet_id,lookup_score,consumer_group_pair_keys,required_next_artifact,source_url,reference_trend_pool_eligible,calibration_eligible,canonical_ml_entry_open,decision_pool_boundary,evidence_note
reference_trend_520_p1_batch17_post_mapping_action_board_0011,group_action,13022-102,13022,浙大宁波理工学院,102,2025,广西,本科普通批,物理类,,,needs_browser_or_static_endpoint_discovery_approval,official_query_or_detail_candidate_not_auditable_locally,Try only existing local/static endpoint metadata; otherwise request browser/static-fetch approval before parsing.,auditable_static_endpoint_or_user_browser_approval,true,,,,query_endpoint_probe_or_browser_approval_packet,https://zsw.nbt.edu.cn/bkzn/zsjh.htm,false,false,false,do_not_merge_with_32_school_decision_pool,try auditable static endpoint discovery first; request approval before browser drilldown
reference_trend_520_p1_batch17_post_mapping_action_board_0012,group_action,10344-104,10344,浙江中医药大学,104,2025,广西,本科普通批,物理类,,,needs_browser_or_static_endpoint_discovery_approval,official_query_or_detail_candidate_not_auditable_locally,Try only existing local/static endpoint metadata; otherwise request browser/static-fetch approval before parsing.,auditable_static_endpoint_or_user_browser_approval,true,,,,query_endpoint_probe_or_browser_approval_packet,https://zscx.zcmu.edu.cn/,false,false,false,do_not_merge_with_32_school_decision_pool,try auditable static endpoint discovery first; request approval before browser drilldown
reference_trend_520_p1_batch17_post_mapping_action_board_0013,group_action,10351-301,10351,温州大学,301,2025,广西,本科普通批,物理类,,,needs_ocr_or_manual_image_review_approval,official_image_or_visual_plan_candidate_not_parsed,Hold until user approves OCR/manual image review or provides official extracted table.,ocr_or_manual_image_review_approval_or_official_extracted_table,true,,,,image_asset_manual_table_QA_queue,https://zs.wzu.edu.cn/info/1247/9184.htm,false,false,false,do_not_merge_with_32_school_decision_pool,capture or review official image only with auditable artifact; do not OCR without explicit approval
reference_trend_520_p1_batch17_post_mapping_action_board_0014,group_action,10543-102,10543,湖南理工学院,102,2025,广西,本科普通批,物理类,,,needs_ocr_or_manual_image_review_approval,official_image_or_visual_plan_candidate_not_parsed,Hold until user approves OCR/manual image review or provides official extracted table.,ocr_or_manual_image_review_approval_or_official_extracted_table,true,,,,image_asset_manual_table_QA_queue,https://zjc.hnist.cn/info/1014/2863.htm,false,false,false,do_not_merge_with_32_school_decision_pool,capture or review official image only with auditable artifact; do not OCR without explicit approval
reference_trend_520_p1_batch17_post_mapping_action_board_0015,group_action,10393-104,10393,福建中医药大学,104,2025,广西,本科普通批,物理类,,,needs_wechat_capture_approval,official_candidate_requires_wechat_capture_or_manual_export,Hold until user provides auditable WeChat official artifact or approves capture path.,user_provided_wechat_official_artifact_or_approval,true,,,,wechat_or_static_mirror_capture_approval_packet,https://zsb.fjtcm.edu.cn/,false,false,false,do_not_merge_with_32_school_decision_pool,capture official-linked WeChat artifact or locate static official mirror; isolate medical ordinary-batch rows
reference_trend_520_p1_batch17_post_mapping_action_board_0016,coverage_backoff,11658-106,,海南师范大学,106,2025,广西,本科普通批,物理类,,,official_discovery_backoff,no_official_plan_page_found_in_current_query,Continue official-only search on 海南师范大学招生就业处 /招生信息 surfaces before considering browser or manual review.,official_static_source_found_or_user_approval_for_browser_manual_review,false,,,,official_source_candidate_or_reachability_update,,false,false,false,do_not_merge_with_32_school_decision_pool,no_official_plan_page_found_in_current_query
reference_trend_520_p1_batch17_post_mapping_action_board_0017,coverage_backoff,10542-125,,湖南师范大学,125,2025,广西,本科普通批,物理类,,,official_discovery_backoff,linked_query_requires_login_or_cache_miss_before_plan_rows,Hold in reachability backoff unless user approves browser/login-state review or an official static page is found.,official_static_source_found_or_user_approval_for_browser_manual_review,false,,,,official_source_candidate_or_reachability_update,,false,false,false,do_not_merge_with_32_school_decision_pool,linked_query_requires_login_or_cache_miss_before_plan_rows
reference_trend_520_p1_batch17_post_mapping_action_board_0018,coverage_backoff,10742-161,,西北民族大学,161,2025,广西,本科普通批,物理类,,,official_discovery_backoff,no_static_official_plan_page_found_and_ethnic_or_preparatory_boundary_unresolved,Continue official-only discovery; do not use third-party plan rows because ethnic/preparatory boundaries require official isolation.,official_static_source_found_or_user_approval_for_browser_manual_review,false,,,,official_source_candidate_or_reachability_update,,false,false,false,do_not_merge_with_32_school_decision_pool,no_static_official_plan_page_found_and_ethnic_or_preparatory_boundary_unresolved
reference_trend_520_p1_batch17_post_mapping_action_board_0019,coverage_backoff,10623-102,,西华大学,102,2025,广西,本科普通批,物理类,,,official_discovery_backoff,plan_navigation_redirect_cache_miss_before_guangxi_rows,Retry official plan navigation through auditable static redirect capture or approved browser review; keep intake closed.,official_static_source_found_or_user_approval_for_browser_manual_review,false,,,,official_source_candidate_or_reachability_update,,false,false,false,do_not_merge_with_32_school_decision_pool,plan_navigation_redirect_cache_miss_before_guangxi_rows
reference_trend_520_p1_batch17_post_mapping_action_board_0020,coverage_backoff,10724-152,,西安外国语大学,152,2025,广西,本科普通批,物理类,,,official_discovery_backoff,no_2025_static_plan_entry_found_teacher_language_boundary_unresolved,Continue official-only discovery on XISU site/search; preserve language/teacher-direction boundaries before any preview.,official_static_source_found_or_user_approval_for_browser_manual_review,false,,,,official_source_candidate_or_reachability_update,,false,false,false,do_not_merge_with_32_school_decision_pool,no_2025_static_plan_entry_found_teacher_language_boundary_unresolved
reference_trend_520_p1_batch17_post_mapping_action_board_0021,score_rank_lookup_target,,,,,2025,广西,本科普通批,物理类,527,,official_score_rank_raw_cache_needed,pending_user_approval_or_official_raw_cache,Do not select rank; wait for official raw artifact or approved browser-state capture.,user_approval_or_user_provided_official_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0001,527,10412-101,official_raw_html|official_pdf|official_xls_xlsx|browser_saved_page_with_url_timestamp,,false,false,false,do_not_merge_with_32_school_decision_pool,Select min_rank only after official raw artifact is cached and score/rank/total-score policy QA passes.
reference_trend_520_p1_batch17_post_mapping_action_board_0022,score_rank_lookup_target,,,,,2025,广西,本科普通批,物理类,490,,official_score_rank_raw_cache_needed,pending_user_approval_or_official_raw_cache,Do not select rank; wait for official raw artifact or approved browser-state capture.,user_approval_or_user_provided_official_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0002,490,10596-153|10092-151,official_raw_html|official_pdf|official_xls_xlsx|browser_saved_page_with_url_timestamp,,false,false,false,do_not_merge_with_32_school_decision_pool,Select min_rank only after official raw artifact is cached and score/rank/total-score policy QA passes.
reference_trend_520_p1_batch17_post_mapping_action_board_0023,score_rank_lookup_target,,,,,2025,广西,本科普通批,物理类,462,,official_score_rank_raw_cache_needed,pending_user_approval_or_official_raw_cache,Do not select rank; wait for official raw artifact or approved browser-state capture.,user_approval_or_user_provided_official_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0003,462,10092-152,official_raw_html|official_pdf|official_xls_xlsx|browser_saved_page_with_url_timestamp,,false,false,false,do_not_merge_with_32_school_decision_pool,Select min_rank only after official raw artifact is cached and score/rank/total-score policy QA passes.
reference_trend_520_p1_batch17_post_mapping_action_board_0024,score_rank_lookup_target,,,,,2025,广西,本科普通批,物理类,461,,official_score_rank_raw_cache_needed,pending_user_approval_or_official_raw_cache,Do not select rank; wait for official raw artifact or approved browser-state capture.,user_approval_or_user_provided_official_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0004,461,10407-102,official_raw_html|official_pdf|official_xls_xlsx|browser_saved_page_with_url_timestamp,,false,false,false,do_not_merge_with_32_school_decision_pool,Select min_rank only after official raw artifact is cached and score/rank/total-score policy QA passes.
reference_trend_520_p1_batch17_post_mapping_action_board_0025,score_rank_lookup_target,,,,,2025,广西,本科普通批,物理类,382,,official_score_rank_raw_cache_needed,pending_user_approval_or_official_raw_cache,Do not select rank; wait for official raw artifact or approved browser-state capture.,user_approval_or_user_provided_official_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0005,382,10466-152,official_raw_html|official_pdf|official_xls_xlsx|browser_saved_page_with_url_timestamp,,false,false,false,do_not_merge_with_32_school_decision_pool,Select min_rank only after official raw artifact is cached and score/rank/total-score policy QA passes.
